,ticker,stop_loss,retornoStopLoss,stop_gain,retornoStopGain,retornoPrevisto,retornoEsperado,scoreTotal
64,SPTW11.SA,38.0161427609506,-0.18385269930141135,56.371729965545356,0.21021313330998126,1.552559896485716,0.00128806712294538,872
83,KFOF11.SA,64.09894747369579,-0.17821862213210526,94.148082074974,0.20702669326889733,1.1543298461342397,0.0010256410256410664,862
9,XPCM11.SA,17.81513709470844,-0.20645271762673,27.825246683088935,0.2394318814021137,13.942619211096629,0.0008908345826679209,848
23,PRSV11.SA,93.30635212462555,-0.24141177134450775,158.30954748584767,0.2870694917548591,6.121036108823561,0.0004065040650407248,843
156,HUSC11.SA,82.11587022006832,-0.3323912990238348,173.5386190819326,0.4108830819669318,-0.4240579267224909,0.0008943089430895057,837
28,RBRD11.SA,35.35919978589405,-0.1780753275302931,51.6467245882762,0.2005282203328218,2.0909674048421083,0.0009297894423687669,831
2,ATSA11.SA,63.62653345879862,-0.3372926565659514,137.33691451009048,0.43044382308439544,-0.031291693938107934,0.001666470786475971,819
1,HRDF11.SA,0.7699727059897498,-0.32458533714768945,1.595390285157261,0.3994651799796236,317.2397882102881,1.2548346361995755e-08,809
17,EDGA11.SA,18.283902539413877,-0.20780318024897326,28.732356280438193,0.24490278922949482,0.5619295013495631,0.0004332788703207413,801
128,RBRP11.SA,66.21332442258885,-0.1634450644837988,93.38566175262736,0.17985672712961298,0.034471602904168064,0.0013897469614720936,800
7,CXRI11.SA,48.091022373851025,-0.2968120660470408,93.58099458165253,0.3683432580322119,0.01306579411352149,0.0005848897603240033,794
74,RVBI11.SA,71.41530843584329,-0.15324506121943937,98.8295699454652,0.17179955224950572,21.215431714354043,0.0020156944449973846,790
14,NEWU11.SA,25.645276234099555,-0.1985851176843889,39.22815942980701,0.22587998218146899,2.4881818182542896,0.00031249999999993783,782
0,RBDS11.SA,6.198222396985399,-0.37073886731560135,14.659331968143205,0.48825699496631625,-0.8389202642218513,0.002030418046266913,754
76,RBRF11.SA,68.41498591385006,-0.13856726906093553,91.07192979898018,0.14671281665416847,1.9792413915547011,2.305533541857585e-08,748
10,CTXT11.SA,15.824361297808203,-0.14416649574402673,21.374308857784072,0.15599292170740164,1.7683157911350063,1.2378682301417143e-08,734
88,BREV11.SA,78.61116299359917,-0.17787951541960034,115.12848815184002,0.20402096679457915,-0.333894647829868,0.0012549388200289169,724
97,BTCR11.SA,80.10688194203443,-0.12240487496365526,103.39398959764056,0.13271243405287203,0.08383067523058774,0.0008764375742003061,697
70,JSRE11.SA,74.13886759228534,-0.10805022687112464,92.6869475991132,0.11509798527917603,0.13558298697540194,0.0006015068788003397,697
121,RBRY11.SA,91.65323408573117,-0.12293555898821851,118.7844138820815,0.13669295580939234,-0.27214260709932314,0.0015311004784688276,683
34,VSHO11.SA,67.25389344726374,-0.16970501916958347,96.78644451076497,0.19489437667611065,-0.30305580380128827,0.0008641975308640859,682
21,CPFF11.SA,59.73156143264601,-0.14067674295880472,80.39309952575731,0.15656879664882473,0.34147315005464485,0.0002876976428562994,675
15,FVPQ11.SA,92.43747992366036,-0.14733440825472088,126.31053616192861,0.16511882570921532,-0.9145759156264603,0.0015680871888950065,673
19,BPML11.SA,61.14091320680932,-0.1932852293410755,92.49303191306915,0.22038568143254622,-0.8127509096191041,0.0009235926062420852,664
91,IRDM11.SA,96.59957727465462,-0.11482104182286046,122.79898200596013,0.1252541473157056,-0.2542511609279574,0.0005498281690843321,663
153,BTLG11.SA,95.05059763921851,-0.11200862456802951,119.76757569561036,0.11890484558316872,0.008806440815499084,9.341446550004129e-05,656
54,BBPO11.SA,85.56092296328437,-0.08832259611727555,102.75299842116885,0.09486414589023928,-0.10076622763004561,0.0003196752942640213,656
82,XPML11.SA,89.03797245264205,-0.08931190027859748,107.34763668825015,0.09796093253587079,0.09395460302950487,0.0007160004023438749,644
44,HGFF11.SA,63.293978532060066,-0.15742843160452424,88.35326552507146,0.17616163864013634,-0.8645689756196293,0.00026620410924937943,641
130,HGRU11.SA,105.09414884476861,-0.11230552084995082,132.95932602610802,0.12306213963654655,-0.4016573716292827,0.0005912713127158575,636
20,TRNT11.SA,103.48915533582681,-0.1303432324720436,135.619561689757,0.1396601822668655,-0.24105459708844368,0.0001680672268906669,636
136,BARI11.SA,96.95594364139838,-0.06449301223092885,110.78599870892076,0.06895020611111713,-0.07795512043532415,0.0003859572615509954,628
111,VGIR11.SA,85.84801813814585,-0.13214699022207677,113.44045207538576,0.14678987237384478,5.316657122729347,0.00040438568333134306,620
125,NAVT11.SA,62.539190381040356,-0.15373221800083625,86.61178045767659,0.1720132431573247,-0.14621730615495465,0.0013531592971087747,615
49,FEXC11.SA,82.98173918074643,-0.06762090808150079,95.31693872361902,0.07097683959122492,0.10307977144238767,0.00011235955056188018,599
43,BRCO11.SA,90.06889830072218,-0.1285060509867788,117.71248111491042,0.13896935513149233,-0.3418612999873848,9.677335294222544e-05,587
33,XPIN11.SA,88.21677433947859,-0.06708146555507899,101.33383888727656,0.07163537969092504,-0.1646372961955166,0.0006345436014745243,581
81,RECR11.SA,93.8590810048521,-0.06346956833340178,106.91992196022615,0.06685213188900829,0.07454629578070104,9.976830148761273e-05,571
66,BCFF11.SA,67.63213568852201,-0.04352797957575594,73.8791322999917,0.04481874213763004,-0.0609460757010879,1.2947636074400748e-08,558
96,KNCR11.SA,94.73908383963759,-0.07027397035340288,109.29228383732271,0.07254447694553212,-0.328021178621836,0.0001962558765615796,545
